iter	Passed	Remaining
2691	6210992	4907422
2692	6212137	4904197
2693	6213290	4900981
2694	6214496	4897807
2695	6215779	4894695
2696	6217176	4891675
2697	6218380	4888504
2698	6219722	4885443
2699	6221385	4882635
2700	6222572	4879455
2701	6223804	4876311
2702	6225118	4873233
2703	6226625	4870308
2704	6228010	4867287
2705	6229518	4864365
2706	6230816	4861279
2707	6232032	4858132
2708	6233255	4854990
2709	6234426	4851809
2710	6235720	4848727
2711	6236939	4845586
2712	6238402	4842637
2713	6239750	4839600
2714	6240885	4836398
2715	6242243	4833371
2716	6243505	4830272
2717	6244735	4827148
2718	6246072	4824108
2719	6247338	4821016
2720	6248764	4818048
2721	6249977	4814916
2722	6251384	4811936
2723	6252547	4808768
2724	6253760	4805642
2725	6255099	4802613
2726	6256329	4799501
2727	6257440	4796300
2728	6258714	4793225
2729	6259931	4790109
2730	6261068	4786932
2731	6262224	4783771
2732	6263353	4780591
2733	6264521	4777442
2734	6265734	4774328
2735	6266936	4771209
